dog_id,breed,age,weight,duration,hr_mean,hr_max,hr_min,hr_std,br_mean,br_max,br_min,br_std,hrv,rr_mean
LAB_098,labrador,4.0,27.0,300.17,72.6,84.24,64.52,5.24,13.23,13.23,13.23,0.0,0.2599,0.7959
LAB_104,labrador,1.2,30.0,185.27,60.63,64.52,56.34,2.45,13.0,13.96,12.34,0.58,0.291,0.9797
LAB_105,labrador,1.2,30.0,151.71,65.53,70.15,63.24,2.4,13.6,14.63,12.75,0.72,0.2348,0.8919
LAB_106,labrador,1.2,30.0,170.1,65.56,69.19,63.96,1.36,15.66,16.38,14.98,0.39,0.2927,0.9243
LAB_107,labrador,1.2,30.0,139.38,69.23,73.22,63.08,3.33,14.38,14.51,14.26,0.1,0.2304,0.8759
LAB_108,labrador,1.2,30.0,125.75,63.19,66.28,60.99,1.99,14.5,15.04,14.18,0.32,0.2572,0.9146
TER_004,tervueren,2.0,24.8,300.34,65.94,72.02,55.49,4.84,10.61,13.22,7.36,1.8,0.3621,0.8839
TER_005,tervueren,2.0,24.8,300.09,68.59,75.6,59.52,3.22,12.3,16.68,10.29,2.47,0.3058,0.8796
TER_006,tervueren,2.0,24.8,300.08,67.44,78.53,61.94,3.25,10.68,11.53,10.01,0.46,0.3061,0.8998
TER_007,tervueren,2.0,24.8,300.14,67.1,71.7,61.62,2.67,11.12,12.27,9.72,0.84,0.3137,0.9024
TER_008,tervueren,2.0,24.8,300.12,70.46,79.79,61.42,4.87,14.14,21.9,9.57,3.31,0.2807,0.8584
TER_009,tervueren,2.0,24.8,300.14,70.06,82.76,63.2,3.64,11.02,12.12,9.4,0.81,0.2625,0.8511
TER_011,tervueren,2.0,24.8,300.14,74.97,86.85,67.91,5.13,10.05,11.31,9.12,0.61,0.251,0.8042
TER_012,tervueren,2.0,24.8,300.12,75.01,82.62,69.14,3.96,9.52,13.03,8.25,1.35,0.2544,0.8072
TER_013,tervueren,2.0,24.8,300.14,81.69,91.6,71.67,5.77,9.46,9.46,9.46,0.0,0.205,0.7059
TER_014,tervueren,2.0,24.8,300.12,76.68,86.3,71.56,3.02,8.6,9.59,7.49,0.56,0.2332,0.7917
TER_015,tervueren,2.0,24.8,300.14,80.38,103.71,66.32,8.64,11.59,15.17,9.22,1.39,0.2434,0.7574
TER_016,tervueren,2.0,24.8,300.12,77.96,89.66,65.13,7.09,12.23,15.04,10.11,1.33,0.2404,0.7647
TER_017,tervueren,2.0,24.8,300.14,72.83,85.66,64.78,5.83,10.19,12.23,8.82,0.98,0.2776,0.8296
TER_018,tervueren,2.0,24.8,300.34,67.93,82.6,56.21,6.85,11.85,14.29,9.18,1.52,0.3206,0.8706
TER_019,tervueren,2.0,24.8,300.18,69.68,84.45,62.54,5.32,9.77,11.8,7.63,1.27,0.3046,0.8703
TER_020,tervueren,2.0,24.8,300.18,69.15,89.16,56.53,7.69,12.82,17.96,10.78,2.13,0.306,0.8611
TER_022,tervueren,2.0,24.8,300.18,74.15,82.89,64.35,3.98,10.3,11.32,9.44,0.52,0.2667,0.817
TER_023,tervueren,2.0,24.8,300.18,74.45,84.35,66.87,4.28,11.47,11.47,11.47,0.0,0.2345,0.7854
TER_025,tervueren,2.0,24.8,300.18,72.79,81.63,65.18,4.89,7.84,9.39,6.76,0.64,0.2547,0.8203
TER_028,tervueren,2.0,24.8,300.08,51.12,57.26,43.59,3.64,11.6,12.07,11.14,0.46,0.4263,1.1566
TER_031,tervueren,2.0,24.8,300.14,56.21,87.34,48.48,8.88,12.34,13.27,11.4,0.71,0.4868,1.0782
TER_033,tervueren,2.0,24.8,300.18,54.35,65.38,47.37,3.71,9.12,12.27,8.42,0.87,0.3966,1.1025
TER_034,tervueren,2.0,24.8,300.18,53.14,58.1,47.84,2.58,8.18,9.17,7.51,0.42,0.4313,1.1465
TER_035,tervueren,2.0,24.8,300.14,55.8,73.83,46.88,6.9,8.97,11.97,7.44,1.35,0.4125,1.0584
TER_036,tervueren,2.0,24.8,300.12,53.76,60.04,50.1,2.94,13.59,13.59,13.59,0.0,0.4195,1.0945
WEI_004,weimaraner,5.5,27.0,277.77,53.38,58.75,42.58,3.4,24.12,25.84,22.4,1.72,0.2902,1.0994
WEI_005,weimaraner,5.5,27.0,559.28,51.81,69.01,43.8,4.27,21.39,27.27,16.78,2.6,0.3581,1.1656
WEI_006,weimaraner,5.5,27.0,685.35,48.06,55.56,42.23,3.14,21.39,25.5,13.64,3.7,0.4329,1.2551
WEI_007,weimaraner,5.5,27.0,621.6,68.18,85.44,60.04,4.64,14.67,22.02,10.98,2.66,0.3554,0.8805
WEI_008,weimaraner,5.5,27.0,1108.45,60.18,70.27,51.97,3.31,15.64,16.91,14.45,0.72,0.3667,0.9903
